City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Ushuaia,AR,-54.8,-68.3,44.26,61,0,6.91,clear sky
Pangai,TO,-19.8,-174.35,82.51,57,40,13.8,scattered clouds
Bichura,RU,50.5881,107.6022,29.41,58,99,5.26,overcast clouds
Hilo,US,19.7297,-155.09,85.24,69,20,10.36,few clouds
Notse,TG,6.95,1.1667,73.53,97,99,2.39,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,52.14,93,30,6.13,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,50.09,78,40,13.8,scattered clouds
Busselton,AU,-33.65,115.3333,55.18,56,68,10.87,broken clouds
Vaini,TO,-21.2,-175.2,77.16,78,75,8.05,broken clouds
Rikitea,PF,-23.1203,-134.9692,75.13,62,7,4.65,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,4.61,overcast clouds
Kindu,CD,-2.95,25.95,68.92,99,85,1.5,light rain
Ilulissat,GL,69.2167,-51.1,30.22,93,75,4.61,broken clouds
Dunedin,NZ,-45.8742,170.5036,49.15,72,45,20.13,scattered clouds
Aklavik,CA,68.2191,-135.0107,29.5,92,99,4.79,light snow
Thompson,CA,55.7435,-97.8558,69.96,40,40,17.27,scattered clouds
Yermish,RU,54.7678,42.2711,61.05,92,100,12.15,overcast clouds
Broome,US,42.2506,-75.833,53.65,79,0,6.91,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,50.85,95,100,20.18,light rain
Saint-Philippe,RE,-21.3585,55.7679,67.59,78,24,8.5,few clouds
Bluff,NZ,-46.6,168.3333,47.8,53,95,20.67,overcast clouds
Albany,US,42.6001,-73.9662,51.67,65,100,7.9,overcast clouds
Upernavik,GL,72.7868,-56.1549,20.8,87,19,9.42,few clouds
Passy,FR,45.9203,6.6877,56.48,92,60,3.71,broken clouds
New Norfolk,AU,-42.7826,147.0587,55.92,64,99,2.3,overcast clouds
Lorengau,PG,-2.0226,147.2712,85.21,67,27,9.08,scattered clouds
Xicotencatl,MX,23.0167,-98.8833,78.75,63,82,2.24,broken clouds
Mahebourg,MU,-20.4081,57.7,70.25,77,20,8.05,few clouds
Srednekolymsk,RU,67.45,153.6833,26.87,74,93,2.53,overcast clouds
Port Alfred,ZA,-33.5906,26.891,61.18,98,8,1.99,clear sky
Jaguaruna,BR,-28.615,-49.0256,60.78,92,14,5.41,few clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,66,75,8.05,broken clouds
Mount Abu,IN,24.6,72.7,63.39,76,0,3.33,clear sky
Dudinka,RU,69.4058,86.1778,31.62,95,100,17.6,light snow
Ribeira Grande,PT,38.5167,-28.7,71.74,87,96,10.16,light rain
Avarua,CK,-21.2078,-159.775,77.05,61,20,19.57,few clouds
Jamestown,US,42.097,-79.2353,51.39,71,20,4.61,few clouds
Loukhi,RU,66.0764,33.0381,38.28,97,82,5.35,broken clouds
Amga,RU,60.8953,131.9608,27.5,70,100,8.68,overcast clouds
Yulara,AU,-25.2406,130.9889,75.74,45,21,16.78,few clouds
Hamilton,US,39.1834,-84.5333,65.25,63,20,17.27,few clouds
Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,10.36,clear sky
Leshukonskoye,RU,64.8989,45.7622,36.73,98,100,4.52,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,30.45,92,97,4.43,overcast clouds
Beringovskiy,RU,63.05,179.3167,40.78,72,96,14.25,overcast clouds
Vao,NC,-22.6667,167.4833,70.12,73,100,14.32,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,62.71,64,100,13.35,overcast clouds
Constitucion,CL,-35.3333,-72.4167,51.62,92,39,8.86,scattered clouds
Andreapol,RU,56.6513,32.2664,42.3,95,100,14.09,light rain
Mataura,NZ,-46.1927,168.8643,47.48,53,62,9.66,broken clouds
Urucara,BR,-2.5364,-57.76,79.57,67,97,1.77,overcast clouds
Pisco,PE,-13.7,-76.2167,61.02,82,20,14.97,mist
Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,19.57,clear sky
East London,ZA,-33.0153,27.9116,66.65,93,28,6.02,scattered clouds
Haines Junction,CA,60.7522,-137.5108,55.35,35,64,4.61,broken clouds
Ponta Delgada,PT,37.7333,-25.6667,74.5,88,20,12.66,few clouds
Kangaatsiaq,GL,68.3065,-53.4641,35.44,76,90,6.82,overcast clouds
Chuy,UY,-33.6971,-53.4616,53.98,85,3,6.46,clear sky
Poum,NC,-20.2333,164.0167,74.5,66,95,14.25,overcast clouds
Nanortalik,GL,60.1432,-45.2371,36.73,83,37,10.85,scattered clouds
Pithoro,PK,25.5167,69.3833,77.85,72,33,10.33,scattered clouds
Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,85,3.0,overcast clouds
Lompoc,US,34.6391,-120.4579,77.77,67,0,12.66,clear sky
Hay River,CA,60.8156,-115.7999,51.78,54,20,18.41,few clouds
Butaritari,KI,3.0707,172.7902,82.72,71,70,19.15,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,48.25,63,97,9.78,overcast clouds
Yellowknife,CA,62.456,-114.3525,46.92,57,40,18.41,scattered clouds
Carnarvon,AU,-24.8667,113.6333,66.52,56,0,18.12,clear sky
Dingle,PH,10.9995,122.6711,82.33,83,94,6.64,overcast clouds
Clarence Town,AU,-32.5833,151.7833,65.14,53,1,2.89,clear sky
Kapaa,US,22.0752,-159.319,81.12,79,100,18.41,overcast clouds
Gravdal,NO,68.1214,13.5031,50.67,87,100,10.8,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,77.65,84,92,4.29,overcast clouds
San Andres,CO,12.5847,-81.7006,80.62,83,75,2.3,broken clouds
Donskoye,RU,45.4552,41.9741,69.93,69,97,17.36,overcast clouds
Hermanus,ZA,-34.4187,19.2345,57.33,80,5,12.19,clear sky
Rio Grande,BR,-32.035,-52.0986,57.31,87,8,2.42,clear sky
Ternate,ID,0.8,127.4,82.15,70,92,3.18,overcast clouds
Faya,SA,18.3851,42.4509,60.91,62,7,1.32,clear sky
Baza,ES,37.4907,-2.7726,65.57,60,97,1.99,overcast clouds
Lebu,CL,-37.6167,-73.65,50.52,86,83,4.54,broken clouds
Bunia,CD,1.5667,30.25,61.79,96,100,4.18,overcast clouds
Muros,ES,42.7762,-9.0603,59.85,89,99,6.42,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,90.7,69,81,5.21,broken clouds
Orsha,BY,54.5153,30.4053,43.68,95,100,22.59,moderate rain
Shingu,JP,33.7333,135.9833,75.85,75,80,6.02,broken clouds
Biak,ID,-0.9131,122.8766,80.02,76,91,2.13,overcast clouds
Bilibino,RU,68.0546,166.4372,30.7,83,100,0.47,overcast clouds
Druzhba,UA,52.0428,33.9453,46.26,90,100,16.17,overcast clouds
Atuona,PF,-9.8,-139.0333,76.86,76,23,16.91,light rain
Cape Town,ZA,-33.9258,18.4232,59.11,86,40,5.75,scattered clouds
San Luis,AR,-33.295,-66.3356,68.68,34,32,9.22,scattered clouds
Qaanaaq,GL,77.484,-69.3632,8.55,73,18,7.72,few clouds
Tecoanapa,MX,16.5167,-98.75,81.12,77,28,5.64,scattered clouds
Kizukuri,JP,40.8061,140.3861,68.95,89,100,4.07,moderate rain
Khor,RU,47.8861,134.9464,61.09,82,100,11.16,overcast clouds
Barrow,US,71.2906,-156.7887,28.42,74,75,20.71,haze
Necochea,AR,-38.5473,-58.7368,43.34,74,76,9.17,broken clouds
Kodiak,US,57.79,-152.4072,54.91,62,100,9.22,overcast clouds
Saldanha,ZA,-33.0117,17.9442,55.45,83,3,2.08,clear sky
Hasaki,JP,35.7333,140.8333,75.22,66,99,6.71,overcast clouds
Zhangye,CN,38.9342,100.4517,44.92,18,99,5.88,overcast clouds
Floro,NO,61.5996,5.0328,51.76,87,75,13.8,broken clouds
Ulladulla,AU,-35.35,150.4667,60.13,59,11,4.99,few clouds
Hinton,CA,53.4001,-117.5857,68.29,43,14,5.93,few clouds
Castro,BR,-24.7911,-50.0119,59.94,89,55,4.65,broken clouds
Chokurdakh,RU,70.6333,147.9167,21.94,73,70,9.24,broken clouds
Kargasok,RU,59.0556,80.8572,26.87,84,51,6.11,broken clouds
Fortuna,US,40.5982,-124.1573,63.91,76,19,3.0,few clouds
Vallenar,CL,-28.5708,-70.7581,65.77,45,5,2.28,clear sky
Mosquera,CO,4.7059,-74.2302,60.89,59,20,10.36,few clouds
Mende,FR,44.6667,3.5,42.22,97,39,4.34,scattered clouds
Mozarlandia,BR,-14.7447,-50.5706,81.1,56,70,6.55,broken clouds
Saint-Francois,FR,46.4154,3.9054,58.44,94,75,4.61,broken clouds
Sulangan,PH,11.1373,123.7228,83.39,75,83,6.35,broken clouds
Tuatapere,NZ,-46.1333,167.6833,48.16,66,99,13.2,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,66.58,78,17,7.07,few clouds
Salalah,OM,17.0151,54.0924,80.69,78,75,6.91,broken clouds
Cherskiy,RU,68.75,161.3,28.56,88,100,12.44,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,75,9.22,broken clouds
Bossangoa,CF,6.4926,17.4552,69.1,97,89,3.56,light rain
College,US,64.8569,-147.8028,45.07,88,100,0.0,overcast clouds
Skjervoy,NO,70.0311,20.9714,45.19,64,70,1.97,broken clouds
Almonte,ES,37.2647,-6.5167,73.87,44,10,4.83,clear sky
Mujiayingzi,CN,42.1167,118.7833,41.14,83,100,13.76,light rain
Dwarka,IN,22.2394,68.9678,80.62,72,4,7.9,clear sky
Kahului,US,20.8947,-156.47,86.02,62,40,14.97,scattered clouds
Hobart,AU,-42.8794,147.3294,56.26,73,75,8.05,broken clouds
Liverpool,GB,53.4106,-2.9779,51.1,90,40,4.61,scattered clouds
Metro,ID,-5.1131,105.3067,76.12,84,100,3.47,overcast clouds
Santa Cruz De La Palma,ES,28.6835,-17.7642,72.14,78,100,8.05,overcast clouds
Klaksvik,FO,62.2266,-6.589,52.72,88,42,21.99,scattered clouds
Saint Anthony,US,45.0205,-93.218,71.49,54,20,13.8,few clouds
Sao Filipe,CV,14.8961,-24.4956,78.06,71,69,7.61,broken clouds
Jumla,NP,29.2747,82.1838,51.51,82,0,4.85,clear sky
Gat,IL,31.61,34.7642,77.4,71,0,4.74,clear sky
Paracatu,BR,-17.2222,-46.8747,72.63,69,92,8.03,overcast clouds
Terenos,BR,-20.4422,-54.8603,80.31,61,0,3.44,clear sky
Ukiah,US,39.1502,-123.2078,83.44,53,0,3.44,clear sky
Nikolskoye,RU,59.7035,30.7861,44.49,92,97,6.04,overcast clouds
Toguchin,RU,55.2353,84.3858,28.76,89,13,2.73,few clouds
Georgetown,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
Namuac,PH,18.6109,121.1657,82.09,75,47,10.76,scattered clouds
Zambezi,ZM,-13.5432,23.1047,64.06,37,25,5.06,scattered clouds
Victoria,HK,22.2855,114.1577,84.38,83,16,5.01,few clouds
Champerico,GT,14.3,-91.9167,82.94,84,89,2.06,overcast clouds
Kieta,PG,-6.2167,155.6333,85.62,62,28,4.83,scattered clouds
Luderitz,NA,-26.6481,15.1594,58.12,75,0,14.7,clear sky
Kavieng,PG,-2.5744,150.7967,84.83,67,5,9.17,light rain
Inuvik,CA,68.3499,-133.7218,29.16,90,100,8.05,light snow
Provideniya,RU,64.3833,-173.3,41.36,75,40,13.42,scattered clouds
Talnakh,RU,69.4865,88.3972,31.21,94,89,12.46,light snow
Adrar,MR,20.5022,-10.0711,89.1,32,93,7.31,light rain
Bambous Virieux,MU,-20.3428,57.7575,70.21,77,20,8.05,few clouds
Genhe,CN,50.7833,121.5167,31.55,40,1,3.31,clear sky
Beloha,MG,-25.1667,45.05,66.11,75,0,3.91,clear sky
San Quintin,MX,30.4833,-115.95,70.02,72,27,13.51,scattered clouds
Zhigansk,RU,66.7697,123.3711,23.22,82,91,3.24,overcast clouds
Lasa,IT,46.6166,10.7002,47.35,96,36,7.4,scattered clouds
Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,11.5,overcast clouds
Kota,IN,25.1833,75.8333,76.89,60,6,7.7,clear sky
Prykolotne,UA,50.1604,37.3474,51.03,90,100,15.23,light rain
Kuala Terengganu,MY,5.3302,103.1408,73.35,100,40,3.44,scattered clouds
Manta,EC,-0.95,-80.7333,74.98,78,75,9.22,broken clouds
Opuwo,NA,-18.0607,13.84,71.91,24,0,1.99,clear sky
Kavaratti,IN,10.5669,72.642,79.95,80,100,12.53,overcast clouds
Hithadhoo,MV,-0.6,73.0833,81.39,68,72,14.61,broken clouds
Pembroke,CA,45.8168,-77.1162,44.19,67,0,2.89,clear sky
Faanui,PF,-16.4833,-151.75,78.91,72,31,14.25,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,18.3,light rain
Esperance,AU,-33.8667,121.9,55.42,79,79,19.08,broken clouds
Byron Bay,AU,-28.65,153.6167,62.94,66,71,8.39,broken clouds
Kinablangan,PH,7.6947,126.5503,82.71,71,99,0.43,light rain
Komsomolskiy,UZ,40.4272,71.7189,54.32,58,6,6.91,clear sky
Crateus,BR,-5.1783,-40.6775,82.69,29,16,1.63,few clouds
Awbari,LY,26.5921,12.7805,79.95,45,1,9.69,clear sky
Khani,GE,41.9563,42.9566,63.97,62,96,3.29,overcast clouds
Susuman,RU,62.7833,148.1667,18.34,82,100,3.2,overcast clouds
Rock Springs,US,41.5875,-109.2029,63.84,38,100,6.91,overcast clouds
Khatanga,RU,71.9667,102.5,24.19,96,100,11.36,light snow
Cidreira,BR,-30.1811,-50.2056,61.18,89,44,7.11,scattered clouds
Cayenne,GF,4.9333,-52.3333,78.84,89,20,1.14,few clouds
Makakilo City,US,21.3469,-158.0858,79.12,79,100,12.66,light rain
Cascais,PT,38.6979,-9.4215,74.55,82,0,1.01,clear sky
Jinchang,CN,38.4953,102.1739,45.86,32,98,3.44,overcast clouds
Hirara,JP,24.8,125.2833,80.87,83,20,4.61,few clouds
Panzhihua,CN,26.5851,101.7128,69.33,90,36,0.47,scattered clouds
Grindavik,IS,63.8424,-22.4338,50.47,93,75,20.71,light rain
Poretskoye,RU,55.1974,46.3291,58.69,93,100,12.28,overcast clouds
Itaituba,BR,-4.2761,-55.9836,79.75,67,91,1.39,very heavy rain
Katsuura,JP,35.1333,140.3,75.69,66,75,7.9,broken clouds
Oriximina,BR,-1.7656,-55.8661,78.46,75,93,4.54,overcast clouds
Kutulik,RU,53.3508,102.7839,27.64,84,96,4.83,overcast clouds
Fort Portal,UG,0.6617,30.2748,58.26,95,93,2.77,overcast clouds
Husavik,IS,66.0449,-17.3389,43.92,80,81,10.65,broken clouds
Bengkulu,ID,-3.8004,102.2655,75.2,91,99,4.81,overcast clouds
Fairfield,US,41.2668,-73.3162,54.1,54,40,14.97,scattered clouds
Egvekinot,RU,66.3167,-179.1667,28.63,71,97,5.06,overcast clouds
Cibeureum,ID,-7.3552,108.2693,73.8,96,100,1.83,overcast clouds
Nakonde,ZM,-9.3421,32.745,60.78,55,8,7.34,clear sky
Tiksi,RU,71.6872,128.8694,24.44,90,100,8.19,overcast clouds
Durant,US,33.994,-96.3708,84.56,13,0,5.75,clear sky
Nome,US,64.5011,-165.4064,46.17,53,0,11.5,clear sky
Aneho,TG,6.2333,1.6,75.4,85,99,5.75,overcast clouds
Heze,CN,35.2431,115.4411,68.16,90,94,8.16,overcast clouds
Xihe,CN,31.6864,113.4659,86.38,50,6,11.74,clear sky
Bandarbeyla,SO,9.4942,50.8122,76.93,82,97,23.33,overcast clouds
Coihaique,CL,-45.5752,-72.0662,61.41,58,100,0.0,overcast clouds
Twin Falls,US,42.3505,-114.6445,70.14,26,0,9.22,clear sky
Sitamau,IN,24.0167,75.35,71.74,71,0,7.7,clear sky
Farmersville,US,36.2977,-119.2068,85.89,40,0,8.05,clear sky
Imeni Babushkina,RU,59.7573,43.1285,48.51,95,100,2.71,overcast clouds
Nhulunbuy,AU,-12.2333,136.7667,83.01,78,75,9.22,broken clouds
Kjopsvik,NO,68.097,16.3742,44.47,87,100,7.02,overcast clouds
San Cristobal,VE,7.7669,-72.225,75.38,94,76,2.57,broken clouds
Kardymovo,RU,54.8902,32.4311,46.58,96,100,16.13,light rain
Maceio,BR,-9.6658,-35.7353,74.64,88,75,6.91,broken clouds
Bairiki,KI,1.3292,172.9752,87.8,62,40,12.66,scattered clouds
Dumka,IN,24.2667,87.25,76.87,86,100,3.83,overcast clouds
San Patricio,US,28.017,-97.5169,82.35,44,100,8.88,overcast clouds
Chapais,CA,49.7834,-74.8492,40.78,64,31,3.89,scattered clouds
Solnechnyy,RU,50.7214,136.6319,46.27,97,100,3.58,moderate rain
Gondanglegi,ID,-7.7479,112.0132,79.48,81,89,9.93,overcast clouds
Beyneu,KZ,45.3167,55.2,51.31,44,0,12.39,clear sky
Khvoynaya,RU,58.9,34.5333,42.37,89,100,10.45,overcast clouds
El Campo,US,29.1966,-96.2697,82.69,26,0,3.44,clear sky
Narsaq,GL,60.9167,-46.05,37.62,62,41,4.5,scattered clouds
Verkhnyaya Inta,RU,65.9811,60.3094,39.27,93,100,5.79,light rain
Bathsheba,BB,13.2167,-59.5167,79.41,94,40,5.75,light rain
Sitka,US,57.0531,-135.33,55.29,62,20,5.75,few clouds
Ipixuna,BR,-1.7625,-48.8043,77.67,87,100,6.2,overcast clouds
Namatanai,PG,-3.6667,152.4333,85.84,63,13,6.2,few clouds
Lavrentiya,RU,65.5833,-171.0,39.38,70,28,11.61,scattered clouds
Pevek,RU,69.7008,170.3133,30.52,86,100,10.36,overcast clouds
